,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
0,0.4463504035345031,0.7425265337769018,-1.0109093429124179,2,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
1,1.3223652142096962,-1.2977746019136118,-0.14714972001373974,1,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,3,10,7,1,7,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2,0.008342998196906572,1.4143632382387843,-0.8875151110697495,2,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,3,0,0,0,0,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
3,-0.42966440714069,1.4614661806180305,-0.7641208792270812,4,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,3,8,7,3,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
4,-1.0866755151470848,-0.5242947060017769,-0.8875151110697495,1,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,3,2,2,2,2,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
5,-0.5391662584750891,0.5020536174196967,-0.8875151110697495,2,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,2,7,7,3,6,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
6,2.4173837275536876,1.2928872289449382,-0.7641208792270812,3,3,81,4,1,1,2670,9964,4,20,4,1,80,3,12,3,2,1,0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
7,-0.7581699611438873,1.3771767047814845,1.827157989468953,1,4,67,3,1,3,2693,13335,1,22,4,2,80,1,1,2,3,1,0,0,0,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
8,0.11784484953130571,-1.4539580424342708,1.7037637576262845,3,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,2,3,9,7,1,8,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
9,-0.10115885313749257,1.230909673182772,2.197340684996958,3,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,3,2,7,7,7,7,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
10,-0.2106607044718917,0.016149580244313087,0.8400041347276065,3,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,5,3,5,4,0,3,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
11,-0.8676718124782865,-1.6101414829549299,0.7166099028849382,2,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,3,9,5,0,8,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
12,-0.6486681098094882,-0.32844562979333136,2.0739464531542895,1,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,1,2,5,2,4,3,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
13,-0.3201625558062908,1.3474274780156446,1.2101868302556114,2,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,2,3,2,2,1,2,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
14,-0.9771736638126857,-1.7340965944792623,1.827157989468953,3,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,4,3,4,2,0,3,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
15,-0.8676718124782865,1.4540288739265705,1.456975293940948,4,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,1,3,10,9,8,8,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16,-0.5391662584750891,-1.1614239792368461,-0.5173324155417446,2,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,5,2,6,2,0,5,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
17,-1.6341847718190805,0.7945876806171215,0.8400041347276065,2,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,2,1,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
18,1.7603726195472926,1.0325814947438399,-0.8875151110697495,4,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,3,25,8,3,7,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
19,0.11784484953130571,-1.06969719670884,-0.8875151110697495,3,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,3,2,1,2,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
20,-1.4151810691502822,-0.32100832310187144,0.2230329755142651,2,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,5,2,4,2,1,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
21,-0.10115885313749257,1.0301023925133532,-0.02375548817107146,4,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
22,-0.3201625558062908,-0.9507002896454807,-0.270543951856408,4,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,4,3,12,6,2,11,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
23,-1.7436866231534796,-1.020115152099107,0.7166099028849382,2,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,6,3,0,0,0,0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
24,-0.3201625558062908,-0.2565516651092185,-0.3939381836990763,1,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,2,3,4,2,1,3,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
25,1.7603726195472926,1.188764935264499,-0.5173324155417446,3,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,3,2,14,13,4,8,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
